,title,company,rating,location,salary,summary,post_date,record obtained,job_url
544,Data Scientist,Vaco,3.7,"Nashville, TN","$130,000 a year",The role will work with other Data Scientists and Analysts to create predictive and regression models.,15 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6vuF9mJcDFzyB4chVe5GK_l9f7WKwVdB9xa6ccd-mZpbhf1s3vxyBaZyixrHYH7JohD2IXIVHQczmGosxyUhCiel9-LU-Ho9zQkhSQ_GtXdBCxAo0aGJlnPq3y1qnM95bn0sKZbo3rs6RpmXDxYl6tN_g9QbM3r4VVJazDZSPItm-8wyiFj4MhTIBL7-coqRXQI2o9Xuqdaixhjgctsk9cGAr-YqnszQ10W6ymNFjpe50WxvYnfOWhL7ePBV6VXL8i0Li0fRWzfsIhuW0_UUuUj1div-HO2BXe1cNrdZZmi7mO4Qhwejvqyma8nJwvNX2Ki7fOCTqJYQRwb_U9Hq_fmO5nl2bmmdDJegEv85oQJG4z5heCz4A45cIQMWW0EDOGCHsfnOywBbQ_3pqC4GXKSQ4WO-YhJw1WA3tDusYjFKGbmjOO3qOx1hAyhyQDYCTw=&p=12&fvj=0&vjs=3
545,Data Scientist - Remote,SemanticBits LLC,4.2,Remote,,"Strong grasp of statistics, programming, and modeling techniques (machine learning, classification, cluster analysis, data mining, databases, and visualization)…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxmNod1rWr7hmeuQGmVuAIvmx_E0Ms9JF_1bsaXh8lwuk0DrdrZQT7RU4SGxsGXg2xtnyqe0O5mRabUxE0Tn2GLLslpcsWcDTBd9fmFgvXYW8f349KL2HCHg0XphVrtlFuT7zB8CCv819MWWoLwgPfDP16O-Xbco2CuW4y7ucMCDFsMT5nVoyOLJbacgwSQ-om6JQU6smRxIZ07gioPM1yxEDjMy92PeP2AdxJAr1hnGlVMRJ3HNJ3gN_uVsiuDcikEKi5ZRUr_jvQMxLr3KZwcxEOpxxJMR2179E1J0mdLqAUAvle-nP8InkOS-WiMR_Xc20OsSvPA5OZulQRylMrS2cL1xDPWOaqeSFfRcloXTA9IjD3RTIk_3sbZlFF-vXkCz_wLICzcTnklocUuOlywRGXSs5v0XIH_1fBfOhVNlVjprVrfGpmyQpRLR9xT9teundhdlxbkfA8d6Kbk3L0Ul-ZuVGGq7QCbTR0DVlHpFCt6WNVYnRmbbY2HpDmEMkP9SC0HQQhnNfRSPjBNMc7yukd99DfD02JECx6_Bv345LxA38W2hjomPq7L8WqlyiOpddU6sJ1IkV_2gW8GmVg&p=13&fvj=0&vjs=3
546,"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8r9q-m4QGBZILJsMcrCnsXks4l-jv1pW0P06j-xkM-s2IyZrLKdDCzCs6F6cetm5DO8WxrdmO0jB25SXi9Z0USpIf38jzrmv0TnkdtSPaONRoJ2MTwY9yPZPw3sRWDQLTLId6ECtCqYh-HMoAnzY0g-l8s1BVTH0_4kFJ9ZdB1AP02PbcBOvR4P4PUM442QhxerKJkK77aiPDWBuU2xIgh_If1ZlrQCluioqFcMuqGep37mr9BOQn2L1MyS_I-o0c0iZPSo2W14CPmWBIppnr25ipbXlXKNPh03M0arRSsbXKAi1e-wxIQRiADkQwotnja48wET7yiIRXhg2txrwkpw==&p=14&fvj=0&vjs=3
547,Data Scientist,Peterson Technology Partners,4.0,"Milwaukee, WI",$45 - $75 an hour,"Skilled data scientist with machine learning, image analysis, statistical analysis experience.
Machine Learning: 3 years (Required).",10 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AgtsfPTMZ7iDcp1X4T-0K4CYWuscf9rvuaH0n-fMkMyKnr7WxHRcz12wTe7OJE2CNkGD_Zbt1v7NuV4PiynL_HBCfpjsYtUm__LNxiL6j00COIMJtZM0_7ZyAPccQINce0U-MpG9gf4xDww8Do2cWIME6ZpYvTZ_dHiLzvOra4M9usmN1vQXTwGnCAi_Dc4jPDSJ9LsRH_MA8z6HCKFrsgOm40OZ8ufa3vepKViBTuGA3Mkm0mSHwMyFQnLj3ZxBvZ2lcdEbVAsAeqs-8YetjDU0_8s8FU1iOROJTdfc8IePKmp6QDhtoU4TMk_3Ai-VXmanKDOOurHOnCoViRFeqimZpqGD2Eo3h2Y70Er9F2bSWCmUnV9NEo2Rl06_W8-sHoi6lBT0ES1gC0UANpU5RFZaghEojxOwMfaYwPae7Hrxir7ZY2QqxwJGHxSxCpPSwbry1BXsq3ehDjVb2A6a91&p=15&fvj=1&vjs=3
548,Data Scientist,PIC Group Inc.,3.9,"Atlanta, GA",,"Critical thinking and problem-solving skills are considered essential for interpreting data, and a passion for machine-learning and research will be a key…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIUdkk1FcrHlkbxj5DyYBI1BV5m7vAffkQYdg-MJb9E9rJxgRt7JURlFycN6rhPadVf6jIVPm4L4V26C17ILA2Wd1MD_JdcvC9dnWhP74tTXM5jaupobLuFqkW6pbMNWMrRJqcHwKfTtUjFz1RSHSEuJrJMRniY81EzG_04AQaN8U_uhh7UqugO46z4rp5WWCNVL9jXq8qTJgorXkTqO5z55Kfu6zBo6UoqxBOiGskE74buUPlLQZ1bFjZCmBfpQU5yfCgC_AcSmXUMLd51DueHp8rynxzmdHCqhSd5hNcATCr378P_FIyzoJnA4Ib5vVhYmqhNuRiMUM1sW5a0UO_G_FHKLaE9fwCQHSeOVYbSKqwJ_KHe3EC1OSuLkudwZaGqo8kJ9LNvudN86zjXCv_ClbfqPDZp2xZLt9ARowml0xTxL2RgixRJts8UV11uRtRrwSWhtOQVLZM6tB_c0lnyG5p-4yd_HlQvroJi6Rx_Ywiqr1bqtBpYOTcpHshRWCuPfWQigEx_ArZ9t9rNsyWeudJQm7h-NE=&p=16&fvj=0&vjs=3
549,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,"Mountain View, CA",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASXGwdLWjBNYivRaShgyLT0X0BdS_EVSQWni2gtHz1pazciS9pJg_LVuqiSysEs-TMIwFFOo7W9bIb5VzrANtYopVIA4KVaF9yg6fI6EvZwtW2vAGjQWCOF3vWYBeKjokeHeoKgHupsPPJigSH8DaOChlEr7xUj3CXaKRa_EOHrL6kextn73M0_yMxtJW1hCD0eCHyF0AeRYARsPdVISJxqp6GY3bVL0qi81_Fmbhd6Mo9MWVRaR23EqXlw70IfTpXx1m8MKX5eld4CiUbtvHuxUlexLqDWXzXCioACMLeP_CY138CNZN2phzqlyJCJFUjT-zEWz-43nWIQpCQNlbi2woPHiROcavhpoJG2WLiRbE8NX7LecIwHtKPTEkQHV5Mdnth3nnm60vaL9JwBkyMTM5YiJXOVkio2GNxzZyoIKXUR_TZOVqH5RNZg9d6RNo-XGtVW7AxhgZOuR0YQDBVbafQzaB6jVxrGADKQE4Wsw==&p=0&fvj=1&vjs=3
550,Data Scientist,National Security Agency,4.2,"Fort Meade, MD","$102,663 - $157,709 a year","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCee1dkQkxJJ_jTPTeaAj6bQY7W8nqpUJM6WNhg1Fr7srQjxek9SAawvVC9GMiVTmhP2Xm5DNNsoU4gf5Acij-lskiLv_U24kxFhP-h4yNZUqnlvkhC2z7PnwORCxmwdXViJE3HT473NlC9rKYuveZtyQwpbJUI3OkLoH-RfZwb36xYvXBSJXy4rPN-P2BpF_9ZDamC0KoYLJ66s1h8gIFGOXtKrCp_lEUKSojdWcdmEEZ5u1P4Vrb8ZIui41BxltdMIuSCy4aJnhZ4NqDbOYBX7XGXRRVFsLFdYSFCqzKp5Nt4-w3tBWjP1ws-T25zJYu_hA3s2kQj6TmCeasZHEa1Sk_wspZJxQiIkdhT1kEWsFIiDd2GBKpP035Mvk0E3a8k=&p=1&fvj=0&vjs=3
551,Junior Data Scientist,ETA Hand 2 Mind,,"Vernon Hills, IL",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis.",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=fc5d73688ace79ab&fccid=ac321a5da06cb7ba&vjs=3
552,Junior Data Scientist,Learning Resources,3.8,"Vernon Hills, IL",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis.",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=3c8e252db356a7f5&fccid=03d90505d35d8d46&vjs=3
553,Associate Data Scientist,Bayer,4.2,"Ankeny, IA",,Solve complex problems requiring original thinking and deductive reasoning and the application of scientific principles to the design and interpretation of…,30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=b8721a6417914947&fccid=e08122e0e993cc32&vjs=3
554,Data Scientist,RAPP,3.5,"Dallas, TX",,"You should have experience with unstructured data and APIs, expertise in machine language/machine learning, and experience analyzing large and small internal…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=05599e9e9420b425&fccid=fc317a2deb4ad617&vjs=3
555,Data Scientist,FourthWall Media,5.0,"Sterling, VA",,"This vital role works closely with data scientists and developers to discover insights within massive demographic, TV viewing, and advertising datasets and…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=54558e00da9f832d&fccid=d36e68037c569543&vjs=3
556,Data Scientist - AI/ML Engineer,Softnice,,"Sunnyvale, CA",$60 - $65 an hour,"Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.",16 days ago,2020-10-29,https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3
557,Data Scientist,Istari Oncology,,"Durham, NC",,"Interest in data visualization and exploration.
Ability to programmatically develop research tool to advance clinical development.",16 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=b5289eaeae73d1ee&fccid=66ba6d1c7d572fcf&vjs=3
558,Data Scientist,AvalonBay Communities,3.9,"Arlington, VA",,"Experience in building production-level machine learning and predictive analytics models along with data pipelines preferred.
AWS Cloud and Spark a plus.",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=b70dc51414d2e635&fccid=5fae468f83f616ed&vjs=3
559,Data Scientist,American Credit Acceptance,2.9,"Spartanburg, SC",,Analyze large amounts of structured and unstructured data using scientific methods and algorithms to develop knowledge and insights and improve business…,30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=7a9e45845b33f03d&fccid=43b36a11cda569b6&vjs=3
560,Data Scientist,EcoMetric,,United States,,"Employ sophisticated analytics programs, machine learning, and statistical methods to prepare data for use in predictive and prescriptive modeling.",22 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=14dc14249b460aa5&fccid=48473265b96a3179&vjs=3
561,Data Scientist – Protein Sciences,Novartis,4.1,"Cambridge, MA",,"Mentor scientists who are developing their computational skills.
Engage in an interdisciplinary environment with structural biologists, biophysicists, protein…",16 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alc63mq7XbG_XJWtX8RBizZIwo5v3DdAY7_u3VbNSkJ_xP7YBlPnYIjRIFlaBR6Cbab-tVJ3mDLjtaU2hf_Jgoqfjido40iym-Jwa_mwmvYWfzQiZRIMKK-8METKpM3Q27N3MfPL_TBeIq-BYiDm7g8JZ8lZc2FCkwBpk91bPzlsf8zP2PYxTV3Bj1KjSrvTJee546l1jxYJkqRFikl4Jwq7PdDmD5GIvo9VctK4lTJNyaHe5nHlj9lgPYOweyK8l0PtVppgK3tuUUEDT4cp3Z4CRNH7hVKTEZVGiRzKYg9JzL5ID22dPxE-ceHL-Ldqk6I7y6c9NYsUeGhlYakAC5_HB9ANX1KVrFFi1Wl8qNnkyj8aTAkG_aaL2zElDH2gRuI4qHkrjsJOVdc4m3rWTo4MbUb_zL9dA=&p=12&fvj=0&vjs=3
562,Associate Data Scientist,Genworth,3.7,"Richmond, VA",,"Identify business opportunities and provide recommendations for changes to processes based on trends and data analysis, applying knowledge of claims strategy,…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DveHtaohNZTTr4NJ6iQ6LvBAugsddynFItxJfHbw6F-O3gQvnLG9-eGsy0TvdastTsqy7RzwQfhJGQ8fk6UUVgZviSvuJjTopv--I3sAYQy-W6Z7iq2Of_4n4JKWDBlPuAeDCL0uqCFAyBF9gP9eKH0dyR2k2pP6LbU4upH7fixlHNHG8b9Nzfnge3h08anNbnDhfCMn_0NigngsS6qRskK3KrkmGGVbss48HOKciyZG0Y1JagxSlgGE-UZQUu2f2imIoTYATPGRKa-bUY3ws9L9KbSpwO3cJVbN1Zi_qYXPMgs5WsXVZ_1vjOD-zno4l75O7cOFO1gW6NN2cfIUns7mU5iArlmKdmFnxrioLfwWbk7b0sA_aY7tm-FUQmZMQ5oeBJYEiZSbSEMH3sg7HqJH8lGGPcqJs6OLteeD4rbiUvZBDyZD4t1SXvM8WPCGY5FyYyj6fknHtC27IqT67D_Q-eYvE-zb2PLSphQ0ZnDq2s95Yooy0uthl2mxWsFoM=&p=13&fvj=0&vjs=3
563,Data Scientist II (Remote Work Location Available),USAA,3.9,"La Coste, TX",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_HWXH6wnIvGc9N6SpluTK3Mbwh9ysI2SwuIRPve8PKUKxsCcvqHEzo_NR9OcLdq3EhzDw1jKpSWW768mEAIeSI9q1RFdJW6QSq-AT_DzBmx-lT4ipE2q0UiJ3p8t1kKhVIBpvguyZB2bqVS6AeNMUZXEzdjEMdX9wsAnEsmDirECf2Yz-5BtrN9QZ3WUkaOzJGTFWEecxl8NthPvms-kSjJPUvAyCZYz25FSMrF2sIyy5KyLhBJheVspIMlR0g-UCtavjSTyXS8WkYiQ2rRDO6XvgvbMiFY9C87pJ-rC81VVBVg0Kbip4SEvIjhszMys16KqdOnKzyRJFlqRtRSSpJAC5eLQYrs3mw==&p=14&fvj=0&vjs=3
564,Data Scientist,Horizon Health,3.2,"Lewisville, TX",,"Uses descriptive, inferential, prescriptive, and predictive statistical/data science techniques to analyze behavioral health outcomes and clinical data in…",23 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B70tG5J9F_p6339PMOY8QlFtcwwwI2VpystrlvXRVKwq6wGD8W2iNzDRBHa8U3wVZew54n1TiLUkOuErQScOr_OQnUsam7FIMUEr6DVBjL36gn5WhO2zkZ8iA18WFCKWcTyYpdXPKzy0g70X3o9uKdzyUl70VZd873YtcuOM3uwBlv-KhLsOfEbCziU4AtsFq3LMakq8IvS28pHpDklKjwQJ2p0MjYO0h1ZiS3ePE-uUoUdn-QfNhzm_ZyMmj0W--DbWDpNx0t2HVxGYulx78Ohnhq9gmTmIG80ACBBoLYMp_QxtLm-WSm8TweqKfuUxVPgbLRnnEC98cKHfUK63Arc1ff2gIjJFjbbwTye81bhxZkU1uiyiW57hx_J8ayiVoTQuup9VSLaULEhEGN4AUt_ypXNkbOMQXPwEogk-hliNiicS8Ph94LtVYzK5XPL-ItlJsr5lqgEA==&p=15&fvj=1&vjs=3
565,Data Scientist,Leidos,3.7,"McLean, VA",,"Familiarity with relational data and quantitative analysis thereof.
Support the development of customer’s analytics code-base.
Top Secret/SCI with Polygraph.",6 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRp_XAqAGWojRVasZ8yXdb6cFbdIsxhvif_Rb0oo6e176Dp7ZeIq855A8ncYqVLtPxvnMbjdunsoPQp92W_d8ZaQ3FdXMyk9o5Ut-zXTwvIB6qio2ZkSWPDmGT2d0gOVjftPJgz4TPt8I2oHuo0GhjEaod5_FjYb07T2lV55l5kE2AYOuj9HH9qMs9DZOn09lehD8hAnbVlC9VZ0cS1Yxwllpt0ZUVVA8hk3TJkNg65KM9MYnnXvB-En2YXEhP0twKug_UgY8DtZFyM-9lT2TNtw3AR5DXLjDX8Fnn7m5ERWkORpFWf6jZqBwSGQx0k1KrT3egPd09x3KBH9Gc9I8IHBlxeS0atFBe1zeDTnmlfH69aCVWiWfl-rCukE-ekpKXrklvm1FwoOjwVR0vaIZHFZ3IASVToK03wBoW6t6LPgsTf6eUse1yP36td1GKtsEXlyHQ_F2xudatBx8VFt2uuz0ytiHbWWTGQ==&p=16&fvj=0&vjs=3
566,Data Scientist - Remote,SemanticBits LLC,4.2,Remote,,"Strong grasp of statistics, programming, and modeling techniques (machine learning, classification, cluster analysis, data mining, databases, and visualization)…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxmNod1rWr7hmeuQGmVuAIvmx_E0Ms9JF_1bsaXh8lwuk0DrdrZQT7RU4SGxsGXg2xtnyqe0O5mRabUxE0Tn2GLLslpcsWcDTBd9fmFgvXYW8f349KL2HCHg0XphVrtlFuT7zB8CCv819MWWoLwgPfDP16O-Xbco2CuW4y7ucMCDFsMT5nVoyOLJbacgwSQ-om6JQU6smRxBVuZxb8tWJ26WYru8RkEDqUNjwAcRMmK3Yw_TAIwT-48c6lKvmtdvV2-27dYz2Torw7bn8HIoMMCMpYPDe7YABynZ65qgOsZfry8RxAnWSA9_VDZVMlCLEiDKzTY9Q28neGAdPl0P6gYNFJhNDXNfXfz4KPea6-WtdCRcYK1rKCABEcbqmZnKnOtYsYKkEUbpnmPyurISR76hbxqTr1jTHg3jCoIQ2Eyvath3jzIFaTRoRHpQJUtavLZghi5PLAqd46jW8Ow68M1cqc9N6QYrVMwHW12CDzkM1J09zwUoOeAQWKX_z6yPRP4E5nfjsNt3j13n4yua6n63hIO73cn3p9NLPwRTodUHCkP2v65jhbg1FWs8fAFGWfKBTRvPsEyJIneIsz4V0B&p=17&fvj=0&vjs=3
567,Computational Biologist / Bioinformatics Data Scientist,Novartis,4.1,"Cambridge, MA",,"Playing a key role in an interdisciplinary team of translational research/medical scientists, biologists and computational scientists.",9 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alc63mq7XbG_XJWtX8RBizZIwo5v3DdAY7_u3VbNSkJ_xP7YBlPnYI-Kphl7S8MIhlog1XiH5cK2xrJQTPHiNfolQ_ARFb-Vae4hrYEXjD87cGlJaqlqa7cGqWQ6mzO6GxdXpe2Xz6YDfD_zJXZxEFKnBecDeCYtSUhMehuNrBSe88BnCA2hh_8b6sKuZYYI-dV7_oFvJEzwnyULNjfunn1-be6qAC9Ol2OzVqx30IVFnRNSACFy4X_JS7VF1jbKW_xAGaJfj4vRl_TJcJzQqIqBpnXWqavfk-_SwQJTPcwsucJ-OGQStxOEA-D5t5nzVoXCH90aD0lDSipwynLT872usZgjVR9dox5UNxB6kqeOSiBAAkL01JuCeTLZt15qHNepwB1neaW4oC3TsDFN5vmqWkU4w9Mcw=&p=0&fvj=0&vjs=3
568,Principal Data Scientist,Nike,4.2,"Beaverton, OR",,Skills/Requirements: 6 months of experience: (1) building machine learning or deep learning algorithms; (2) deploying models into a production environment; (3)…,13 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=69f6be1a6edc5da6&fccid=2c62e4de04b8f952&vjs=3
569,"Data Analyst, Data Science & Analytics",QuestBridge,,"Palo Alto, CA",,"Exposure to data science and machine learning.
Reporting to the Director of Data Science and Analytics (DSA), this person will clean, query, explore, and…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=7280d027a7b2faa5&fccid=0fdc5c465a8b2a6c&vjs=3
570,Applied Data Scientist,Spring Discovery,,"San Carlos, CA",,"You have cultural familiarity with scientists and labs from personal experience.
Experience. You have 3+ years of real-world experience in data science,…",24 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=8f8a9a4afb183701&fccid=10ff6404a90f469b&vjs=3
571,Data Scientist,Bloomberg,3.9,"Princeton, NJ",,"Proficiency using data and statistical modeling and machine learning methods to solve real world problems.
Rise to the challenge: research new data sets and use…",22 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=d644c2a58053c41f&fccid=f770da67b3b51c62&vjs=3
572,Data Scientist - Workday Analytics,IBM,3.9,"Southbury, CT",,"You will be working with a team of data scientists and software developers on multiple efforts in parallel, but under great collaboration.",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=2c7a466cb39bfdb2&fccid=de71a49b535e21cb&vjs=3
573,Data Scientist,AvalonBay Communities,3.9,"Arlington, VA",,"Experience in building production-level machine learning and predictive analytics models along with data pipelines preferred.
AWS Cloud and Spark a plus.",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=b70dc51414d2e635&fccid=5fae468f83f616ed&vjs=3
574,Data Scientist,"PhysIQ, Inc.",,"Chicago, IL",,"The person in this job is responsible for all functions expected of an experienced data scientist in PhysIQ’s research group, namely to develop, advance and…",7 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=7234a42ab7e577ff&fccid=0b28086c837ed0fe&vjs=3
575,Data Scientist,Mitre Corporation,4.0,"McLean, VA",,"Experience designing data science tasking and/or leading a team of data scientists.
Experience applying various machine learning approaches (e.g., random forest…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=200d580dc5e65b7a&fccid=fd03a1a845b02aae&vjs=3
576,Data Scientist,Apple,4.2,"Santa Clara Valley, CA",,"In-depth knowledge of digital analytics data, measurement, methodologies and industry standards.
We are looking for a self-starter with web analytics and…",20 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=5a488b6a19d296c3&fccid=c1099851e9794854&vjs=3
577,Data Scientist - Lodging Team,Hopper,3.5,"Boston, MA",,"Use machine learning and big data tools on large and complex data sets to enhance our data-driven, personalized travel advice.",24 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=6a4f8ceb48560b9d&fccid=71eb96af97fae7e9&vjs=3
578,Data Scientist II (Remote Work Location Available),USAA,3.9,"San Antonio, TX",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_HWXH6wnIvGceTy47TJq1PCR9bpHiBf83VjlsQ83OCmnlIkXXeZve14RQX55aIBHL1PyaFBPkQ8CwvARbXIC8uGaTgjFpzg6GlzGpzKqgY6kEo3mQRXJK0xCTn4bQc9hKzCUosJ7288ZbLcWOci6gpriZ14vg-sOgDe_p76yJEHr1Y_nLdtX-GbEwm-OtxktM6WrxDKheOvcDh8jQClpjIxi9OxZEUtqQd4SjR0LQBTlJjh3vYe0EOM8IKMRNK1IohlnsLU9fnZzamy7HMirH8K2rfTlfANXCv3UH_s3K83drZbs5Xi7xlfom_heW93K5A8wQJUJ6_cU_FazX65efuPQPxzM219oTQ==&p=11&fvj=0&vjs=3
579,Data Scientist,Vaco,3.7,"Nashville, TN","$130,000 a year",The role will work with other Data Scientists and Analysts to create predictive and regression models.,15 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6vuF9mJcDFzyB4chVe5GK_l9f7WKwVdB9xa6ccd-mZpbhf1s3vxyBaZyixrHYH7JohD2IXIVHQczmGosxyUhCiel9-LU-Ho9zQkhSQ_GtXdBCxAo0aGJlnP5BjLyhBrbqDE6lR3SamQlMPs6IkMclfZYrQUj-x5_gdEaSFlEg4ZMHpNVi5yrj035IBopY1zDeU3TBTXOxO51i5XvvljYWn5tMd82R8gvY8t00XqBEPTYgtKVOp6hOMKzFlq95Z9xfTbA1_tpGxF2Jwx_9Ce8w_rY7nXd1PBjFa0hJAiyBnxgFIewYJ-Vwo8vAI_s_EsAPkPmOUIXl8zhRCtnQm6gSLWq7voAQ4P4bhvvzdmyK0picNhcbQigQ3mXTSSajMg81No7ed-vBr8c31YRVILXPxPKtMV_gNDsQlMwT7zaKwBP2HSI2MXtspPh0kthIJ0D2U=&p=12&fvj=0&vjs=3
580,Data Scientist - Manufacturing Technology,Northrop Grumman,4.0,"Palmdale, CA",,"The position requires strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models,…",16 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL4xiBVbb_EgRS6mZmsgnHhYerJoEfKDNyU9eAHYKRb4O7PwvsthC8__YpG53bTaBgzri9dSOOibgxyadsH9SmXzVneWwA_RzZQEJeMCLnynmfXRcDHE1Zo3yg3sMTMgj__Gf_Nv59CSZl9sKohSrZ4rbFLc8GQE-zAsGLaibpSkVM1aBN_JN3eQx1VaW_UBgbdnXBWByMsW4yyL5x6_UegQp5Fnu23aL90Mn28-wmu75c-i5FipbjQN5hZqu6wQZ517rMgDs2DcS7Bg2Zl6yfYUWDmBAm1D_rbOwuzKNtpeOok-KeRc8vqK26zM_VP-757rcPwJTqNd9yEJWbqK0lAjOOMLaKKzn1U2_BLezvpKocflGFVmO_DWl2LutmFJRwpW-4nVEU8hR5TJszKhQZzcMCbys4uDGldnkPHMUk-7kejSy4kTrDtCFWTJaeHGyk0z-hcvL54GQ8ffTF6F8Xe9MEAyrQT-9YkzmPfYK-2o5lyl3xEhPQC-FTJWgRDmbpFPgaq8h-9_btSkGpGOLYFezRA-XI_x4gmLuKAaJL-QjZy3zXw9xBmrN8cKxoWv4bj8KOrHGbB21Lpw5pCRPkNc=&p=13&fvj=0&vjs=3
