title,company,rating,location,salary,summary
Data Scientist,ITG Brands,3.5,"Greensboro, NC 27408","$73,000 - $98,000 a year","Help develop key insights, forecasts, segmentation schemes, and data-driven analyses to drive customer value.
Mentor and collaborate with your peers."
Data Scientist,"PhysIQ, Inc.",,"Chicago, IL 60607 (Near West Side area)",,"The person in this job is responsible for all functions expected of an experienced data scientist in PhysIQ’s research group, namely to develop, advance and…"
Junior Data Scientist - Center for Quantitative Drug and Dis...,USC,4.2,"Los Angeles, CA",,The Junior Data Scientist is responsible for supporting the processing and management of data used for scientific research purposes for the USC’s School of…
Data Scientist,DeepHealth,,"Cambridge, MA",,"Experience working with DICOM data or healthcare-related data.
Advanced degree in a field related to data science."
Data Scientist,MTH Technologies,,"Dallas, TX",,"Frameworks/libs: SciKit-learn, Pandas, NumPy, Matplotlib, SciKit , CAS Viya and API’s, Teradata Query Grid and in database analytics."
Data Scientist,Onward Search,3.9,"New York, NY 10016 (Murray Hill area)",,"Excellent data visualization skills, is able to determine the appropriate visualization for a variety of data types and create compelling stories with data."
"Data Scientist, Mid",Booz Allen Hamilton,3.9,"Falls Church, VA",,"Ability to manage diverse data sources, including pre-processing, cleansing, and verifying the integrity of data to develop data marts for data science use…"
Data Scientist II,HCA Healthcare,3.6,"Nashville, TN 37203",,"Develop deep expertise in working with people, organizational, operational, labor, financial, and survey data.
Auto, Home, and Life Insurance options."
Data Scientist,White Ops,4.0,New York State,,"Develop algorithms (i.e. rule based, statistical, machine learning) that automatically detect emerging threats.
You have proficiency with SQL, Python."
Data Scientist Intern,Joby Aviation,,"San Carlos, CA 94070",,"Work with the data engineering team to develop and maintain efficient data pipelines.
Experience with machine learning techniques and methodologies."
Junior Data Scientist,Invent Analytics,,"Philadelphia, PA",,"Engineers and data scientists to develop advanced forecasting and optimization solutions.
Performing assigned tasks as part of the project team, working…"
TSR Data Scientist,Xator Corporation,3.6,"Denver, CO 80222 (Southeastern Denver area)",,"The successful individual will perform end-to-end systems engineering for data flows from the perspective of data format, implementation, and support."
Feasibility Data Scientist,Icon plc,3.5,Indiana,,"Query relevant databases, including clinical trial registry tools and internal sources, and research various literature sources to support preparation of robust…"
Data Scientist,Amrock,3.3,"Detroit, MI 48226 (Downtown area)",,"They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear,…"
Data scientist,Avila Trading,,"San Francisco, CA",,"(Ability to write functions, clean and efficient data manipulation are mandatory for this role).
Conceptual understanding in Machine Learning models like Nai¨ve…"
Data Scientist II,f5,4.0,"Seattle, WA",,"5+ year experience in applied mathematics, statistical and quantitative analysis or machine learning.
You will collect and clean data from our data lake in…"
"Decision Scientist, Data & Media",Ibotta,3.4,"Denver, CO 80202 (Central Business District area)",,"Using analytics to drive sales of three key products: external data feeds, targeted audiences, and advertisements on Ibotta's mobile app."
Data Scientist,"Signature Science, LLC",3.1,New Jersey,,"Performs data analytics, specifically data clean-up, data processing, predictive modeling, chemometric statistical modeling and analysis, multivariate data…"
Remote Senior Data Analyst,Verys,,Remote,,"You have technical expertise regarding data models, database design development, data mining and segmentation techniques.
Filter and clean data as needed."
Data Scientist,Xator Corporation,3.6,"McLean, VA 22102",,"The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations."
EV Infrastructure Data Scientist Internship (Spring 2021),Tesla,3.5,"Palo Alto, CA",,"Intern projects may include analyzing travel and charging behavior, proposing and prototyping charging related customer experience metrics, and building models…"
Mid Level Data Scientist,Samiti Technology,,"Jersey City, NJ",,"Data modelling, data mining, data extraction: 7 years (Preferred).
Hands on experience with data modelling, data mining, data extraction, Client model…"
Enterprise Analytics Data Scientist,AmeriHealth Caritas,3.3,"Philadelphia, PA",,"Analyze data for trends and patterns, and interpret data with a clear objective in mind.
Define and implement data acquisition and integration logic, selecting…"
Data Scientist,ANALYTOS,,"Austin, TX",,"Designs and drives the creation of new standards and best practices in the use of statistical data modeling, big data and optimization tools."
Data Scientist,IT Consulting Services,,"Colorado Springs, CO","$98,236 - $145,000 a year","Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc."
Jr Data Scientist,Global Data Management Inc.,,"Woodbridge, NJ 07095",,"In this role, you will support all phases of analytic work product development, from the identification of key business questions, through data collection, from…"
Data Scientist,Voice,4.2,"Brooklyn, NY",,"Analyze data for trends and patterns, and Interpret data with a clear objective in mind.
Proficiency with data mining, mathematics, and statistical analysis."
Data Scientist/Quantitative Senior Analyst/Associate,New Millenium Consulting,,"Manhattan, NY","$120,000 - $140,000 a year","We're looking for a data scientist/quantitative analyst with experience in finance, statistics, econometrics, machine learning and credit risk modeling…"
Data Scientist,QuaEra,,"New York, NY 10018 (Garment District area)",,"Experience with R, Python, PySpark and data visualization software such as Tableau.
Experience with machine and statistical learning areas such as…"
"Data Scientist, Data Science Institute",Vanderbilt University,4.0,"Nashville, TN 37240",,"Participating in scientific teams that will help Vanderbilt researchers to maximize the potential of their data,."
Data Scientist,Clarigent Health,,"Mason, OH 45040","$75,000 - $90,000 a year","Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design,…"
Data Scientist*,3M,4.0,"Maplewood, MN",,"Conduct a variety of data analytics such as: predictive modeling, statistics, machine learning, data mining, and other data analysis techniques to extract…"
"Computational Chemist, AI Data Scientist",Ashland,3.8,"Bridgewater, NJ 08807",,"Collaborate with scientists and work effectively in focused project teams.
Experience using AI, machine learning, informatics and advanced data analysis tools."
Principal Data Scientist (Full-Time),Aware Healthcare,,California,,"Broad and deep knowledge of machine learning algorithms, with a strong sense for which techniques fit a given situation.
Deliver data insights to customers."
Jr. Data Scientist,Potrero Medical Inc.,,"Hayward, CA 94545 (Glen Eden area)",,"This role will assist the data science team in performing exploratory data analysis, algorithm development and statistical analysis of clinical data as well as…"
Data Scientist,iQuasar LLC,,"Chesterfield, MO",,"The successful candidate will have the opportunity to work collaboratively with interdisciplinary scientists internal to Bayer Crop Science, organize…"
Genomic Data Scientist,Benson Hill,4.0,"St. Louis, MO",,"Collaborate with various internal teams including scientists from other disciplines, data and software engineers, and project leaders."
Data Science Fellow,Øptimus Consulting,,"Alexandria, VA 22314 (Southwest Quadrant area)",,"Having courses or experience in machine learning, data mining, regression, generalized linear models, experimental design, and/or GIS is especially desired."
Data Scientist,Hive,3.6,"San Francisco, CA (Haight-Ashbury area)",,"Our ideal candidate has experience creating a working machine learning-powered project from the ground up, contributes innovative ideas and ingenious…"
Data Scientist,Maxiom,,"Ashburn, VA 20147",,"Present information using data visualization techniques.
We also want to see a passion for machine-learning and research.
Analytical mind and business acumen."
Data Scientist,Red Violet Inc.,,"Seattle, WA 98101 (Downtown area)",,"Experience working with large data sets for data mining, analytics, modeling.
Develop ETL systems and data pipelines to interface new data assets with our…"
Data Scientist,Arrow Designs,,"Oakland, CA",,4-5 years experience and proven track record in solving business problems through fact-based and scientific analytics.
Data Scientist,Istari Oncology,,"Durham, NC 27709",,"Interest in data visualization and exploration.
Ability to programmatically develop research tool to advance clinical development."
Data Scientist Faculty,UMMC,,"Jackson, MS 39216 (Fondren North area)","From $88,779 a year","Elected candidates will help further the development of our growing Biostatistics and Data Science programs, specially, courses aim to fulfill the data…"
Data Scientist,Panjiva,4.0,"Cambridge, MA",,"Strong candidates can leverage a wide array of machine learning and statistical techniques at scale, to address challenges with semi-structured and multilingual…"
Data Scientist,TapOnIt Mobile Deals,2.0,"Davenport, IA 52803 (Village of East Davenport area)","$70,000 - $85,000 a year","Excellent oral and written English communication skills, willing to work and coordinate with multiple teams for solution delivery."
Data Scientist,Driveway,4.1,"Aliso Viejo, CA",,"Handle a diverse set of problems ranging from probabilistic interference on phone trajectories, data fusion between noisy sensors, modeling and classification…"
Data Scientist,Northwestern Mutual,3.8,"Franklin, WI",,"Develops prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization…"
Data Scientist Computer Vision,Bayer,4.2,United States,,Strong background as a data scientist within depth subject matter expertise in at least one area of remote sensing or agronomy.
Data Scientist,BICP,,"San Francisco, CA",,"We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving…"
Data Scientist,Northrop Grumman,4.0,"Hill AFB, UT 84056",,"Develop and implement artificial intelligence and machine learning models to solve complex data problems.
Maintain an up-to-date knowledge of technology trends."
Data Scientist I/II,United States Steel,3.4,"Pittsburgh, PA",,"Demonstrated skill in the use of applied analytics, descriptive statistics, feature extraction and predictive analytics on industrial datasets."
Junior Data Scientist,Soothsayer Analytics,3.5,"Livonia, MI",,"Collaborate with other engineers, data scientists.
1-year experience with open source machine learning tools built in Python or R.
Job Type – Full time (W2)."
Data Scientist,SeamlessWorld Consulting,,"East Brunswick, NJ",,"Analyze all data assets and address complex data anomalies.
Map de-identified healthcare data to proprietary data structures."
Data Scientist,The Knot Worldwide,3.0,"Washington, DC",,"Proficiency in key statistical and machine learning techniques (predictive modeling, classification, clustering, text analytics, recommender systems , data…"
Principal Data Scientist,Nike,4.2,"Beaverton, OR",,Skills/Requirements: 6 months of experience: (1) building machine learning or deep learning algorithms; (2) deploying models into a production environment; (3)…
Lead Data Scientist,Aimpoint Digital,,"Atlanta, GA","$100,000 - $130,000 a year","Experience leading data science teams.
Machine Learning: 3 years (Preferred).
Experience with generative models, LSTM networks, higher order Markov Chains."
Data Scientist,Alliance Data,3.6,"Chadds Ford, PA",,"Create and Design - Create machine-learning based tools or processes for data mining and data analytics .
Five or more years directly related work experience to…"
Data Scientist - Fraud Analytics,DiDi Labs,,"Mountain View, CA 94043",,"Strong modeling skillset, hands on mastery of data manipulation and experience with data analytics tools (SQL, R, Python, Hive, Spark, and other data analysis…"
Data Scientist,Eaze,,"San Francisco, CA",,"Work with data engineers to develop end-to-end machine learning pipelines from data exploration, feature engineering, model building, and maintenance."
Data Scientist,Collective Medical,4.4,"Salt Lake City, UT",,"With a nationwide network covering every national health plan in the country, hundreds of hospitals and health systems and tens of thousands of providers…"
Data Scientist Sr Associate,"JPMorgan Chase Bank, N.A.",3.9,"Plano, TX",,"Create data models using best practices to ensure high data quality and reduced redundancy.
The Scientist has a strong ability to understand data relationships,…"
Data Scientist - GIG Car Share,"AAA Northern California, Nevada & Utah",3.6,"Berkeley, CA",,"We call our club's vision, mission, values, and supporting pillars ""Our House"" because they are the foundation for all that we do. We're working to transform…"
Data Scientist,Invent Analytics,,"Philadelphia, PA",,"BSc / MSc in deep learning, machine learning or equivalent work experience.
You will code new machine learning paradigms, sometimes from first principles, for…"
Data Scientist / Data Automation Engineer,JSR Micro,4.1,"Sunnyvale, CA 94089 (Lakewood area)",,This engineer will lead cross functional teams to develop tools and applications to manage data from multiple chemical manufacturing sites as well as quality…
Data Scientist (PhD Entry-Level),Frequence,4.2,"Mountain View, CA 94041",,"Have deep statistical knowledge, utilizing in A/B testing, analyzing observational data, and modeling.
Strong working knowledge of classification algorithms,…"
Data Scientist- Marketplace,Wheels Up Partners LLC,,"New York, NY 10036 (Garment District area)",,"3+ years of experience as a data scientist, economist, applied scientist, research scientist or equivalent data analytics role (or M.Sc. and 1+ years of…"
Associate Data Scientist,Impetus Technologies,4.1,"Phoenix, AZ",,"Master degree in business analytics will be accepted in lieu of experience.
Mine and analyze data, develop technology roadmap, implement workflow technologies,…"
Intern - Data Scientist - Summer 2021,Lumen,3.5,"Chicago, IL 60606 (Loop area)",,"Use data insights to inform North American Operations strategies.
Data mining and predictive analysis.
Must be available to work 30 – 40 hours, during the…"
Principal Data & Applied Scientist,Microsoft,4.2,"Redmond, WA",,"10 years plus experience of applying statistical modeling, ML and data mining algorithms to real world problems."
Data Scientist II (zu),Zulily,3.2,"Seattle, WA 98121 (Belltown area)",,3 + years ’ experience developing applied machine learning or data science capabilities in consumer-facing and/or enterprise applications.
"Data Scientist, Forecasting",Geli,,"San Francisco, CA 94105 (Financial District area)",,"Geli’s suite of products creates an ecosystem where project developers, OEMs, financiers, and project operators can deploy advanced energy projects using a…"
Data Scientist Intern,Analog Devices,4.3,"Wilmington, MA",,"Provide programming support to data science projects and tasks that may include data visualization, predictive analytics, machine learning, and natural language…"
Junior Data Scientist,ETA Hand 2 Mind,,"Vernon Hills, IL",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis."
Junior Data Scientist,Learning Resources,3.8,"Vernon Hills, IL",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis."
Senior Data Scientist,Headcheckit.com,,Remote,"$112,853 - $204,864 a year","Being part of a team of data scientists.
Analyzing large amounts of data and building data driven models.
Supporting implementation of advanced analytics in…"
Data Scientist,Caterpillar,3.9,"Deerfield, IL 60015",,"Typical problems include combining data sets in unique ways to identify new insights for the business, creating scenario and what-if analysis to manage foreign…"
Data Scientist II,Microsoft,4.2,"Redmond, WA",,"Knowledge and experience in large scale data analytics, such as Spark, a plus.
Strong knowledge in deep learning computational graph frameworks, such as…"
Visualization/Data Scientist,Vita Data Sciences,,"Waltham, MA 02451",,"May require a bachelor’s degree in a related area and 2-5 years of experience in the field or in a related area.
1+ years working with Clinical related data."
analyst & data scientist,Clarity Campaign Labs,,"Washington, DC",,"Create data visualizations and maps to effectively communicate trends and analysis.
Use statistical methodology and machine learning techniques to create voter…"
Data Scientist,"Alexion Pharmaceuticals,Inc.",3.6,"Boston, MA",,"Integrate and summarize large-scale data and information across multiple scientific, translational, and clinical domains."
Data Scientist - BI Developer,Houston Food Bank,4.2,"Houston, TX 77026 (Northeast area)","Up to $70,000 a year","Proficient designing and developing Relational and Dimensional data models.
They will work with the Data team and users to identify and consume all data in the…"
Data Scientist,Intuitive,3.9,"Norcross, GA",,"Contribute broadly to the Advanced Product Development team, responsible for machine learning, advanced analytics, and new technology development focused on…"
Data Scientist,EcoMetric,,United States,,"Employ sophisticated analytics programs, machine learning, and statistical methods to prepare data for use in predictive and prescriptive modeling."
Data Scientist,Select Source Solutions,,"Chantilly, VA 20151",,"Minimum of 5 years experience in the designing data models and conducting statistical data analysis, data manipulation, data visualization, and value modeling…"
Data Scientist Jr.,Optimal Solutions Group,3.5,"College Park, MD 20740",,"Assist development teams drafting and compiling requirements for complex statistical models, machine learning algorithms and deep learning networks."
Junior Data Scientist,"E3 Federal Solutions, LLC",4.1,"Chantilly, VA",,"The junior data scientist is responsible for producing metrics on user activity.
Understanding of data extracton tools and technologies."
Data Scientist,Analog Devices,4.3,"Wilmington, MA",,"Experience with data cleansing/transformation, feature engineering, statistical analysis, data visualization, and data mining.
Familiarity with R, Python, SQL."
Data Scientist / Quantitative Research,PicnicHealth,,"San Francisco, CA",,"Transform real-world clinical data into actionable insights using data analytics, robust statistical methods, and compelling data visualizations accessible to a…"
Data Scientist,Deerwalk Inc.,,"Lexington, MA 02420",,"Coordinate with product and clinical teams to identify business problems with AI solutions.
Experience w/ machine learning libraries (e.g. Keras, scikit-learn)."
Data Scientist/Data Engineer,SEKAI,,Remote,,"Your work could be on big data ETL pipelines, GraphQL API, data analysis on financial, IoT or ERP data and optimization or any areas in between."
Senior Data Scientist,LogMeIn,3.6,Remote,,Presents technical findings in a summarized form to non-technical audiences; translates complex quantitative data into succinct actionable insights.
"Data Scientist, Operations",PicnicHealth,,"San Francisco, CA",,"You hold a Master's degree with 4 years of industry experience or PhD in a quantitative discipline, such as operations research, applied math, applied…"
Data Scientist,ArborMetrix,4.5,"Ann Arbor, MI 48104",,"Our data science platform allows for efficient aggregation and deep analysis of healthcare data, and deploys advanced analytics that deliver credible, trusted…"
Data Scientist - Deep Learning,Verb Surgical,3.8,"Mountain View, CA 94043",,Good communication skills to clearly understand the problems of experts outside your field as well as collaborate with other data scientists.
"Senior Data Scientist, Podcasts",Spotify,4.3,"Los Angeles, CA",,You will use sophisticated data science techniques on Spotify’s incredible amount of data to build meaningful insights to support the business.
Data Scientist,RAPP,3.5,"Dallas, TX",,"You should have experience with unstructured data and APIs, expertise in machine language/machine learning, and experience analyzing large and small internal…"
Data Scientist(Signal Processing)with PHD,Central Business Solutions Inc,,"Santa Clara, CA 95050",$45 - $70 an hour,"We are looking for a signal processing engineer to develop innovative signal processing, machine learning and deep learning algorithms for real-time primary…"
Data Scientist,Clock Foundation,,"Torrance, CA 90502","$83,000 - $117,883 a year","A PhD (or equivalent experience) in a relevant scientific subject including but not limited to bioinformatics, biostatistics, or computational biology, with…"
Data Scientist,Global Systems Engineering,3.0,"Alexandria, VA 22312",,"To ensure success, you should have experience as a Business Intelligence Developer and/or Data Scientist and be able to create and manage BI and analytic…"
Sr. Data Scientist,Gap Inc.,3.8,"San Francisco, CA 94105 (Financial District area)",,Experience developing personalization capabilities through data science using multi-channel retail consumer data such as POS and clickstream data preferred.
Data Scientist,Whisper.ai,,"San Francisco, CA",,Analyze clinical and usage data to gain deeper insights that translate into changes to our product (e.g. features) or service (e.g. training hearing care…
Data Scientist I,Children's Hospital of Philadelphia,4.0,"Philadelphia, PA 19146 (Graduate Hospital area)",,"We translate research to practice by applying our models to domains of clinical informatics, population informatics and precision medicine through comprehensive…"
Data Scientist,Sootchy Inc,,"Los Angeles, CA",,"Expertise in data governance, cataloging, and analytics data management.
Strong candidates will demonstrate how the solution they developed leveraged machine…"
Data Scientist,Airspace Technologies Inc,3.9,"Carlsbad, CA 92010",,"Work closely with the analytics team, data engineers and backend engineers.
The ideal candidate would be a data scientist with savvy programming skills."
Associate Data Scientist,Bayer,4.2,"Ankeny, IA",,Solve complex problems requiring original thinking and deductive reasoning and the application of scientific principles to the design and interpretation of…
Senior Data Scientist,Humana,3.7,"Irving, TX",,"Bachelor's Degree and 5+ years of applicable experience OR Master's Degree and 3 or more years of experience.
Ability to make decisions on moderately complex to…"
Data Scientist,JetBlue Airways Corporation,4.1,"Long Island City, NY 11101",,"Proficiency in Python, SQL, git and common data science and machine learning libraries.
The Data Scientist applies machine learning and statistical techniques…"
Data Scientist,Microagility,,"Livingston, NJ",,"Experience mining databases, manipulating datasets and building statistical models to draw insights from data."
"Data Scientist, Autonomy Systems",Nuro,5.0,"Mountain View, CA",,"Perform deep-dive analysis that informs how we manage and deploy our fleet of autonomous vehicles.
Academic/industry experience applying Bayesian methods, MCMC,…"
Principal Data Scientist I,TrueMotion,,"Boston, MA",,"Using knowledge of statistics, machine learning / deep learning, signal processing, physics, programing and data modeling, the Principal Data Scientist consults…"
Junior Data Scientist Data Science Development Program,MassMutual,3.7,"Amherst, MA 01002",,"High-impact project work: Junior data scientists work together with MassMutualâ€™s data scientists to solve challenging problems in finance,."
Data Scientist - FaaS Live Panel,GroupM Data & Technology,,"New York, NY",,"You will be joining a large team of data scientists with experience and expertise in a wide range of methodologies, toolkits, and applications to a variety of…"
"Data Scientist, Food and Drug Administration",Dexis Consulting Group,3.5,"Washington, DC",,"You will be a part of a Scrum team of developers that includes other data scientists, machine learning engineers, and full stack and data visualization…"
Data Scientist,Teknatio,,"Menlo Park, CA",,"Design and develop data analytics system for networking telemetry and configuration data;
Evaluate and adopt stream processing, batch processing and monitoring…"
Data Scientist,Tinder,4.8,"Los Angeles, CA",,Our analytics team takes ownership of the decisions being made from our data – we develop a deep understanding of both the business and its data and establish…
Data Scientist,HTI Labs,,"Omaha, NE 68102",,"Enhancing data collection procedures to include information that is relevant for building analytic systems.
Designing, testing, and implementing architectures…"
Junior Data Analyst,Abnormal Security,,"Lehi, UT",,"Full medical, dental, and vision health insurance benefits.
You will be responsible for analyzing potential email fraud and sharing your findings with the rest…"
Data Scientist Summer Intern: 2021,IBM,3.9,United States,,"You’ll work in an agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines…"
"Data Scientist – Python, R, NLP",Food People,,"Irvine, CA",,"Experience developing and shipping a data science product.
Transform sales from being driven by intuition to driven by science and data."
Senior Data Analyst,Dashlane,4.0,"New York, NY",,Our analysts span the full data cycle from data collection to business recommendations and use advanced technologies to process and report the data.
Data Scientist,Kinect,,"Palo Alto, CA 94303",,"Lead custom analyses and connect them to actionable Business and Product insights.
2+ years of relevant experience in Data Science and/or Machine Learning with…"
Data Scientist,Asana,3.6,"San Francisco, CA 94103 (Mission area)",,3+ years of experience in applying data science techniques to drive technical product development and decision-making.
Data Scientist,Norfolk Southern Corp,3.0,"Atlanta, GA 30309 (Midtown area)",,Collaborate with various departments to identify opportunities for process improvement and developing analytics use-cases.
"Associate, Data Sciences",Wavemaker,3.8,"San Francisco, CA",,"Internship in data management or data analytics field preferred.
Thrives in a fast pace, constantly changing environment; can adapt plans due to changes in…"
Data Scientist Intern (PhD preferred),Intuit,4.2,"Mountain View, CA 94041",,"Working side-by-side with Intuit's Data Scientists and Machine Learning Engineers – along with Data Analysts, Software Engineers, and product managers – you…"
Data Scientist,IBR (Imagine Believe Realize),,"Suitland, MD",,"Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and…"
Data Manager / Scientist,Integral Consulting Inc.,,"Seattle, WA 98110",,"The desired candidate will be a detail-oriented individual who can support scientific and engineering analyses by ensuring the highest level of data quality,…"
Data Scientist - Metrics & Product Validation,Aurora,4.2,"Palo Alto, CA",,"Identify, utilize, or create as appropriate the needed technical machinery for large scale data analysis and visualization."
Data Scientist,AdvanceSoft,,"Ashburn, VA 20147",,"Design, develop and implement machine learning and deep learning systems for internal quality analytics application and product development for customer…"
"Data Analyst I, II or Senior",Hallmark,3.8,"Kansas City, MO 64108 (Crown Center area)",,"Be an expert of Hallmark's data sources, including how to best leverage advanced analytics, reporting, experimentation, predictive analytics and more to create…"
Data Scientist - Workday Analytics,IBM,3.9,"Southbury, CT 06488",,"You will be working with a team of data scientists and software developers on multiple efforts in parallel, but under great collaboration."
"Data Scientist, eCommerce",RB,3.6,"Parsippany, NJ",,"Proven ability to remain current, continually researching and evaluating emerging technologies as well as scientific publications on state-of-the-art algorithms…"
Chief Data Scientist,FacilityConneX,,"Nashua, NH",," Offer expertise in applying data visualization techniques to tell the story of the data,.
 Experienced in the use of applied analytics and predictive…"
Data Scientist / Engineer,AWM SMART SHELF,,United States,,"Interprets results from our proprietary data capture engine using variety of techniques, ranging from simple data aggregation via statistical analysis to data…"
Data Scientist,CLIFFORD W. BEERS,3.9,"New Haven, CT 06511 (Newhallville area)",,"Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics.
Proficiency in ACCESS a plus."
AI/ML - NLP/ML Scientist,Centurion Consulting Group,,"Baltimore, MD","Up to $100,000 a year","Proficiency in transforming data, classifications, and translations, as well as resolving data quality and data cleansing.
Jupter Notebook: 1 year (Preferred)."
Data Scientist - Innovation,The Cincinnati Insurance Companies,3.5,"Fairfield, OH",,"The team’s goal is to bring new data, analytics, and technology into the corporation to improve the efficiency and effectiveness of the overall business."
Data Scientist 2,Humana,3.7,"Louisville, KY",,"Being part of talented team of data scientists with broad skills and applications, the Data Scientist will work cross-functionally and collaboratively with…"
Data Scientist (Risk Management),The UPED Group,,"Dallas, TX",,"The candidate is primarily responsible for designing, developing, testing, and maintaining quantitative models or tools and performing analyses for risk…"
Data Scientist - Intermediate,Envision LLC,,"St. Louis, MO 63141",,"At least 1 year of work experience applying statistics and data science to real-world problems.
Demonstrated ability to apply advanced statistical methodology…"
Data Scientist,RXR Construction Services LLC,,"New York, NY 10019 (Midtown area)",,"You have experience leading teams of data scientists and can make architecture decisions at a team and product level.
Mentor and coach the data science team."
Data Scientist - Operations Research,Shipt,3.4,"Birmingham, AL 35203 (Central City area)",,"The data science team builds data driven solutions using machine learning and operations research techniques.
Experience with a data visualization tool (Tableau…"
AI/ML Data Scientist,Applied Information Sciences,4.2,"Reston, VA 20191 (South Lakes Dr - Soapstone Dr area)",,"Ability to provide subject matter guidance.
Experience with applying Data Science techniques to overhead imagery (computer vision, object detection)."
"Data Scientist, Transaction Monitoring",Wish,3.8,"San Francisco, CA",,"The ideal candidate should be passionate about Wish and e-commerce, has a strong analytical and consultative mindset, deep understanding of databases,…"
Data Scientist,Brightidea,4.5,"San Francisco, CA",,"Experience with full machine learning pipeline: from data preprocessing, to building/training various models, to hyperparameter optimization, testing, and…"
Data Scientist,Co–Star,,"New York, NY",,"Expert-level understanding of core principles & modern tooling in data science, including machine learning (eg SK Learn, Pytorch, Tensorflow), data and text…"
Senior Data Scientist,ConcertAI,,Remote,,"You will work closely with a cross-functional team of subject matter experts, data scientists, and data and software engineers to assist with client technology…"
Data Scientist - HCI,SCAN Group,,"Austin, TX",,"3-5 years of experience handling data sets and building statistical/machine learning models.
You must have strong experience using a variety of data mining/data…"
Data Scientist- Analytics,OK Cupid,,"New York, NY",,"Our team handles all aspects of the analytics life cycle, including data modelling and warehousing, reporting, traditional analytics, and statistical modeling."
Data Scientist,Comcast,3.7,"New York, NY 10018 (Clinton area)",,"Leverage data engineering skills and analytical rigor to analyze large amounts of data and extract actionable insights using techniques such as data analysis,…"
Healthcare Data Scientist,Navigating Cancer,4.0,"Seattle, WA 98101 (Downtown area)",,"Collaborate with clinicians, researchers, product managers, and engineers to define and clarify scientific research questions, develop statistical analysis…"
Biomedical Data Scientist,University of Kentucky,4.1,"Lexington, KY","$54,142 - $89,315 a year","Use data mining, statistics, statistical modeling and machine learning to understand relationships and patterns in data."
Data Scientist,Data Bridge Consultants,4.5,"Charlotte, NC 28246 (Downtown area)","$100,000 - $120,000 a year","3+ years experience in machine learning, data science, data engineering, and/or computational software development."
Data Scientist,Dataiku,,"New York, NY",,An ideal candidate is comfortable learning complex new technologies and modeling techniques while being able to explain their work to other data scientists and…
Data Scientist,Cedars-Sinai,4.2,"Los Angeles, CA",,"The Data Scientist delivers analytical solutions using programming, data-mining, statistics, machine-learning and visualization techniques."
,Allstate,3.8,"Bothell, WA",,Utilizes effective project planning techniques to break down moderately complex and occasionally complex machine learning/predictive modeling and/or development…
Sr. Data Scientist,Farmers Insurance Group,3.6,United States,,"They will conceive and design complex and innovative analytic models both that include traditional and contemporary data mining technologies, applied to both…"
Data Scientist,NextEra Energy,4.0,"Saint Paul, MN 55107 (West Side area)",,"Employees in this role use knowledge of machine learning, optimization, statistics, and applied mathematics along with abilities in software engineering with a…"
Data Scientist,QVine Corporation,4.2,"Washington, DC",,Experienced in working with and exploiting big data; distributed computing; predictive modelling; mathematics; statistics; machine learning; story-telling; and…
Data Science Intern,Aretove,,Remote,,"Be a part of the data science team to produce high quality data analytics and insights.
Automate manual data processes, create data pipeline to feed into the…"
Senior Data Scientist - Water,GHD,3.7,"Edison, NJ",,"Expert in data mining, machine learning, deep learning, statistical modeling and data visualization techniques using data-oriented tools and languages such…"
Data Scientist,QVine Corporation,4.2,"Washington, DC",,"The Data Scientist handles raw data (e.g. structured, unstructured, and mixed datasets), and analyzes data through the application of various statistical…"
Data Science Intern,Aretove,,Remote,,"We are looking for a Data Science Intern (Remote) to join our Data Services Team. If you have the passion to work on exciting data science projects, then lets…"
Senior Data Scientist - Water,GHD,3.7,"Edison, NJ",,"Senior Data Scientist GHD Advance analytics team provides client with real-time, actionable data and predictive insights in water sector. We are seeking an…"
Analytical Data Scientist,Eurofins Central Laboratory,3.0,"Malvern, PA 19355",,"Malvern, PA 19355, USA Full-time Company Description Eurofins Scientific is an international life sciences company, providing a unique range of analytical…"
Data Scientist,RELX Group,4.1,"Minneapolis, MN",,LexisNexis Risk Solutions We develop industry-leading compliance solutions to help customers fight financial crimes and stay abreast of anti-money laundering…
Research Data Analyst/Statistician,Outreach Process Partners,4.7,"Washington, DC",,Seeking Data Analyst/Statistician with 3+ years of experience in data analysis and research. Analyze and package survey data for Reports to Congress. Prepare…
Data Scientist Intern,Silicon Labs,4.3,"Austin, TX 78701 (Downtown area)",,"More About Silicon Labs: We are Silicon Labs. We are the leading provider of silicon, software and solutions for a smarter, more connected world. We hire…"
