,title,company,rating,location,salary,summary
709,Product Data Scientist,Snapchat,3.5,"Los Angeles, CA 90291 (Venice area)",,"Build best data analytics practices to drive and influence company data culture.
Able to communicate product insights and experiment results to product teams…"
710,Data Scientist OR Senior Data Scientist,Foursquare,4.3,"Seattle, WA",,"4+ years of work or educational experience in data science, machine learning, applied statistics, and/or applied mathematics."
711,Data Scientist - Construction Operations,Tesla,3.5,"Fremont, CA",,"3+ years of work experience in data analytics, data engineering, data science, machine learning or related fields.
Tesla participates in the E-Verify Program."
712,Data Scientist,IDT Corporation,3.6,"Newark, NJ 07102 (Central Business District area)",,"Experience with data engineering including pulling data from databases in SQL, automating processes, and pushing data to databases or application environments."
713,Data Scientist,Infinia ML,,"Durham, NC 27703",,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
714,Staff Data Scientist,realtor.com,3.5,"Santa Clara, CA",,"Mentor a team of data scientists on data exploration, machine learning and developing data-oriented products.
Develop predictive, explanatory models and machine…"
715,Data Scientist,SFL Scientific,,"Boston, MA",,"As a data science consultant, you will be focused on developing and deploying image processing, machine learning or deep learning solutions that will have…"
716,Marketing Data Scientist – Customer Analytics,Adobe,4.3,"San Francisco, CA",,"Define and own the next-generation analytics stacks focused on identifying deeper customer insights and opportunities in acquisition, engagement and retention."
717,,Biomerieux,3.8,"St. Louis, MO",,"Understanding and willingness to self-learn the technologies used in this domain to be up-to-date with the latest developments in data analytics, imaging and…"
718,Associate Data Scientist (m/f/x),IBM,3.9,Delaware,,Als Data Scientist arbeitest Du mit Kunden aus unterschiedlichen Industriesegmenten und bist verantwortlich für die Definition und Bewertung von Data Science…
719,Chief Data Scientist,"HR, Legal, & Administration",,"Sartell, MN 56377",,"Interface with the Business Intelligence team to produce the data required for machine learning activities.
Expert in machine learning methodologies (regression…"
720,Visualization/Data Scientist,Vita Data Sciences,,"Waltham, MA 02451",,"May require a bachelor’s degree in a related area and 2-5 years of experience in the field or in a related area.
1+ years working with Clinical related data."
721,Senior Data Analyst,GrowFlow,,Washington State,"$60,000 - $85,000 a year","Bachelor's degree and 4+ years relevant computer sciences and/or data science and/or data & business analysis, preferably in B2B SaaS space with quantifiable…"
722,Data Scientist,ConcertAI,,"New York, NY",,"You will assist the client delivery team with insights, dashboards, and ad-hoc analytics.
Run a variety of analytics from data QA to complex models."
723,Data Scientist,Beyond Limits,3.4,"Glendale, CA",,"Scope unstructured problems or messy data for tractable insights.
Identify candidate statistical or machine learning solutions and test their efficacy."
724,Senior Data Scientist,McKesson Corporation,3.6,"Dallas, TX",,"Use data science techniques and analysis to understand market trends, process gaps, strategic synergies and provide actionable plans to leverage insights."
725,Data Scientist,Gayathri's Sandbox,,"Menlo Park, CA",,Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
726,Data Scientist,Gradient AI,,"Boston, MA 02210 (South Boston area)",,"Synthesize research data, turning data to actionable insights, and specific model requirements.
This hire will help define how our claims and underwriting…"
727,Data Scientist (Machine Learning) Lead,Simplex Info Systems Inc,,"Alpharetta, GA","$105,000 - $110,000 a year","They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and…"
728,Data Scientist,Maxiom,,"Ashburn, VA 20147",,"Present information using data visualization techniques.
We also want to see a passion for machine-learning and research.
Analytical mind and business acumen."
729,Data Scientist,Change Healthcare,3.0,"Seattle, WA",,"You will enjoy working with a highly talented and diverse team of data scientists specializing in deep learning, active learning, and classical machine learning…"
730,Data Scientist,Chewy,2.7,"Fort Lauderdale, FL 33316 (Poinciana Park area)",,"Combining a background in Supply Chain with a deep understanding of analytics and data science, you will be a part of a team responsible for strategic planning…"
731,Data Scientist,Servpro Industries,3.3,"Gallatin, TN",,"Our data scientists leverage modern statistical and geospatial processing tools in SQL, Python, and Tableau to build scalable infrastructure that drives key…"
732,Lead Data Scientist,HERE Technologies,3.9,"Chicago, IL 60606 (West Loop Gate area)",,"Participate in project reviews and demos.
HERE’s autonomous driving group is a team of engineers, architects, designers and inventors that create highly…"
733,Data Scientist,American Chemical Society,4.0,"Columbus, OH 43202 (Clintonville area)",,"Data scientists are skilled in putting well-defined parameters around potentially ambiguous problems, evaluating success based on business-important criteria,…"
734,Data Scientist,Cerner Corporation,3.5,"Kansas City, MO",,At least 3 years of work experience machine learning methods and the principals of visually encoding data work experience.
735,Senior Marketing Data Scientist,National Funding,3.3,"San Diego, CA 92121 (University City area)",,"Builds recommendations by synthesizing data from multiple sources, developing assumptions where needed, to drive business insights and strategy development."
736,Data Science Analyst,Capital Group,3.9,"Los Angeles, CA 90071 (Downtown area)",,"You’ll help drive business value using internal and external data, predictive analytics and data science.
You’re proficient in data visualization tools like…"
737,Data Scientist - Marketing/Advertising Optimization,Blue Orange Digital,,"Washington, DC","$75,000 - $140,000 a year",You will be joining a highly talented team of engineers and data scientists working on implementing production machine learning models in the media space.
738,"Data Scientist, Healthcare (US)",CitiusTech,3.9,"San Francisco, CA",,"Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify…"
739,Intern- Data Scientist,JDA Software,3.9,"Scottsdale, AZ",,"Experience with machine learning APIs and computational packages (Keras, Scikit-Learn, NumPy, SciPy, Pandas, statsmodels)."
740,Senior Data Scientist,UrbanFootprint,,Remote,,"We are hiring passionate and experienced data scientists to support data and model development, spatiotemporal modeling, machine learning and customer-driven…"
741,Data Scientist,Beyond Limits,3.4,"Glendale, CA",,"Scope unstructured problems or messy data for tractable insights.
Identify candidate statistical or machine learning solutions and test their efficacy."
742,Data Scientist Intern,Elutions,,"Tampa, FL 33605 (Historic Ybor area)",,"Perform statistical data analysis and statistical modelling with high quality data handling techniques.
Selecting features, building and optimizing classifiers…"
743,Lead Data Scientist,Humana,3.7,"Boston, MA",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
The ideal candidate will have experience conducting…"
744,Senior Data Scientist [Remote],TMP Worldwide,3.6,United States,,The TMP Products team is seeking a Sr. Data Scientist to support its efforts in building a leading performance media platform for recruitment…
745,Data Scientist,2nd Order Solutions,,"Glen Allen, VA 23060",,Ideal data scientists have a Bachelors or Masters in a quantitative field and several years of work experience in a relevant field.
746,Data Analyst/Statistician,State of Wyoming,3.7,"Cheyenne, WY",$23.38 - $30.13 an hour,"The position will create reports, summarize findings, provide statistical analysis, evaluate methods and procedures, and help to identify relationships and…"
747,Junior Data Scientist,Shared Services,3.9,"Vernon Hills, IL 60061",,"1 – 3 Years of Experience in data or analytics role (excluding internships).
Monitor and manage data flow for use in future analysis."
748,Statistician & Data Analysis Scientist,Corning,3.9,"Painted Post, NY 14870",,Work alongside scientists and project teams to design experiments to efficiently understand or optimize new systems and processes.
749,Senior Data Analyst,GrowFlow,,Washington State,"$60,000 - $85,000 a year","Bachelor's degree and 4+ years relevant computer sciences and/or data science and/or data & business analysis, preferably in B2B SaaS space with quantifiable…"
750,Data Scientist,Elutions,,"Tampa, FL 33605 (Historic Ybor area)",,"Perform exploratory data analysis and statistical modelling with high quality data handling techniques.
Create scalable model applicable to real time problems…"
751,Data Scientist,BLST Operating Company LLC,,"Austin, TX",,"Bachelors degree in data science, information science, machine learning, statistics, computer science, data mining, applied mathematics, physics, engineering,…"
752,"Data Scientist, Auction and Delivery","Facebook, Inc.",4.2,"Menlo Park, CA",,"Experience working with machine learning algorithms and AI Systems.
Understanding of statistical data analysis (e.g. regression, probability)."
753,Senior Data & Applied Scientist,Microsoft,4.2,"Bellevue, WA 98004 (Hidden Valley area)",,"Upon joining our team, you will be working with truly big data by training and extending the capability of deep learning models to provide compelling…"
754,Neural Data Scientist,MindX,,Remote,,"You are formally trained in signal processing and machine learning techniques.
You have contemporary knowledge of the best-performing strategies for extracting…"
755,Senior Data Analyst,Nebraska Book,2.7,"Lincoln, NE 68512",,"5+ years of experience in data analytics.
Outstanding analytical and organizational skills; the ability to manage and prioritize multiple projects."
756,"Sr Data Scientist, Zoro",Zoro Tools,3.8,"Chicago, IL 60603 (Loop area)",,"Collaborate with other data scientists to develop and implement algorithms, write code, evaluate relevant academic research, and deliver outputs."
757,Senior Data Scientist (Remote Option),Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
Experience in working with assignments that involve…"
758,AI Data Specialist,Percept.AI,,"Sunnyvale, CA","$50,000 a year","Demonstrated experience with data labeling and data quality efforts.
You will need to communicate with our clients to understand their use case, translate it to…"
759,,Leidos,3.7,"McLean, VA 22102",,"Familiarity with relational data and quantitative analysis thereof.
Support the development of customer’s analytics code-base.
Top Secret/SCI with Polygraph."
760,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,"Mountain View, CA 94043",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…"
761,Data Scientist,Peterson Technology Partners,4.0,"Milwaukee, WI",$45 - $75 an hour,"Skilled data scientist with machine learning, image analysis, statistical analysis experience.
Machine Learning: 3 years (Required)."
762,"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA 30361 (Midtown area)",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…"
763,Data Scientist II (Remote Work Location Available),USAA,3.9,"Macdona, TX 78054",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
764,Data Scientist,Berg Health,3.6,"Framingham, MA 01701",,"Proven experience in applying Data Science methodologies to extract, process, and transform data from multiple sources.
Proficiency in R is required."
765,Data Scientist - Quality Engineering (Field),Tesla,3.5,"Fremont, CA",,"5+ years of work experience in data analytics, data engineering, data science, machine learning or related fields.
Tesla participates in the E-Verify Program."
766,Data Scientist II,Nolij Consulting,3.0,"Vienna, VA 22182",,"Must be able to provides technical support to project team members.
Required a bachelor's degree in science or a related area."
767,Data Scientist,Bristol Myers Squibb,4.2,"Princeton, NJ 08540",,Creates robust models based on statistical and data mining techniques to provide insights and recommendations based on large complex data sets.
768,Senior Data Scientist - Algorithms,Spin,3.1,"San Francisco, CA",,"You will be responsible for developing analytical insights, machine learning models and actionable data-informed solutions.
Unlimited PTO for salaried roles."
769,"Data Scientist, Peacock",NBCUniversal,4.0,"New York, NY",,"Build recommendation engines and other analytical models using statistical, machine learning and data mining methodologies."
770,Data Scientist - DEG,Micron,3.8,"Boise, ID",,"Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine…"
771,Data Scientist,C.H. Robinson,3.4,"Eden Prairie, MN 55347",,"Demonstrated having conducted deep research into a targeted subject area.
From designing systems that monitor data streams to send signals and alerts to…"
772,Data Scientist,The Hartford,3.7,"Hartford, CT",,"Invest in the data scientists community by thought partnership, mentoring, training, and supporting peers.
The team utilizes a wealth of data, both internal and…"
773,Data Scientist,Airspace Technologies,3.9,"Carlsbad, CA 92010",,"Work closely with the analytics team, data engineers and backend engineers.
The ideal candidate would be a data scientist with savvy programming skills."
774,DOD Data Scientist/Engineer - Junior,Guidehouse,3.4,"Patuxent River Estates, MD",,"Experience with data engineering and data security practices.
The individual will support the NAVAIR Digital Group in establishing practical and applied data…"
775,Data Scientist – Protein Sciences,Novartis,4.1,"Cambridge, MA",,"Mentor scientists who are developing their computational skills.
Engage in an interdisciplinary environment with structural biologists, biophysicists, protein…"
776,Senior Data Analyst,Nebraska Book,2.7,"Lincoln, NE 68512",,"5+ years of experience in data analytics.
Outstanding analytical and organizational skills; the ability to manage and prioritize multiple projects."
777,Senior Data Scientist,Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Previously applied machine learning to help a firm reach objectives.
3-5 years of professional experience leveraging large sets of structured and unstructured…"
778,Senior Data Scientist (Remote Option),Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
Experience in working with assignments that involve…"
779,,Specific Diagnostics,,"Mountain View, CA 94043",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…"
780,Data Analyst/Scientist,LifeWorks NW,2.9,"Portland, OR","$53,452 - $58,129 a year","The Data Analyst/Scientist position is responsible for all aspects of data analytics including mining, generation, and visualization."
781,"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA 30361 (Midtown area)",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…"
782,Data Scientist II (Remote Work Location Available),USAA,3.9,"San Antonio, TX 78206 (King William area)",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
783,"Sr Consultant, Data Scientist",McKesson,3.6,"The Woodlands, TX",,"Experience in mining pharmacy system data, clinical data, claims and/or EMR data preferred.
Leverage rich data set within the data ecosystem to bring insights…"
784,Remote Senior Data Analyst,Verys,,Remote,,"You have technical expertise regarding data models, database design development, data mining and segmentation techniques.
Filter and clean data as needed."
785,RESEARCH DATA SUPERVISOR I,California Department of Social Services,4.2,"Sacramento, CA","$6,124 - $7,608 a month","The RDS I (supervisor) will guide team exploration of new quantitative methods and opportunities for using artificial intelligence, micro-simulations and…"
786,Data Scientist,Guardian Eagle,,"Boca Raton, FL",,"Experience in Healthcare, claims data, internal data.
Ability to work with unstructured data.
Experience with in depth analysis, working with business analytics…"
787,Sr Data Scientist,Natera,2.7,"Portland, OR",,"Drive rigorous data analysis effort and support group efforts toward high quality documentation.
Post-graduate experience in a data science or engineering role…"
788,Senior Data Scientist (Remote),Headspace,4.0,"Santa Monica, CA 90404 (Pico District area)",,"Identify opportunities to apply data science and machine learning towards unaddressed business problems, or to improve existing aspects our data science…"
789,Data Scientist,CyberCoders,3.3,"Salt Lake City, UT","$50,000 - $95,000 a year","Develop data collection and management modules.
Develop data analysis algorithms for Facility Operations.
If you are a Data Scientist with experience, please…"
790,Data Scientist,Aptive,3.5,"Washington, DC",,"Our employees receive competitive compensation, along with company-paid health care and short-term disability plans."
791,Data Scientist,General Dynamics Information Technology,3.8,"Macdill AFB, FL",,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks."
792,data scientist,Qikspace,,"Seattle, WA 98104",,A talented data scientist with strong background in realtime big data solutions and contextual relevance frameworks.
793,Data Scientist / Machine Learning Engineer,INFISWIFT TECHNOLOGIES,,"Milpitas, CA",,Optimization of complex manufacturing assembly lines by doing Big Data processing and applying machine learning algorithms to analyze the performance from…
794,Data Scientist(Signal Processing)with PHD,Central Business Solutions Inc,,"Santa Clara, CA 95050",$45 - $70 an hour,"We are looking for a signal processing engineer to develop innovative signal processing, machine learning and deep learning algorithms for real-time primary…"
795,Data Scientist - Innovation,The Cincinnati Insurance Companies,3.5,"Fairfield, OH",,"The team’s goal is to bring new data, analytics, and technology into the corporation to improve the efficiency and effectiveness of the overall business."
796,Data Scientist 4,Lam Research,3.7,"Fremont, CA 94538",,"Solid knowledge of artificial intelligence / deep learning concepts and various deep learning architectures as it applies to image segmentation, object…"
797,Data Scientist,EnergyHub,,"Brooklyn, NY",,"Experience using the Python scientific stack (numpy, pandas, scikit-learn, scipy, statsmodels) to clean, filter, aggregate, transform, visualize and then model…"
798,Data Scientist,Abercrombie and Fitch Co.,3.5,"Columbus, OH",,"Be an evangelist of data-informed decision-making and consistently look out for new ways to leverage data and analytics.
Proficiency with SQL, SAS, Python or R."
799,"Data Scientist, CLM",DocuSign,3.9,"Chicago, IL",,"5 years of relevant experience with machine learning, data science, or data analysis, solving real business problems.
Joining data from disparate data systems."
800,Data Scientist with GIS Experience,Clerysys Inc,,Remote,$55 - $65 an hour,"Big data: 7 years (Preferred).
Ability to work both as a team member, and independently on complex tasks, to maintain project timelines deliver on commitments."
801,Senior Data Scientist,Parkland Corporation,3.1,"Austin, TX","Up to $2,000 a week","Strong practical knowledge of applying analytical techniques and methodologies to business objectives, including: machine learning/supervised and unsupervised…"
802,"AI/ML - Sr Data Scientist - Search Insights, Siri Data",Apple,4.2,"San Francisco, CA",,"Build analytic, visualization, and other information products with a drive to automate and scale the insights available to data science and engineering teams."
803,Data Scientist (m/f/d),Applift,,"San Diego, CA",,"Fluent in statistical analysis, data mining, and machine learning, especially in optimization, and deep learning.
Familiar with Linux/Unix operating systems."
804,"Product Data Scientist, Business & Revenue Product",Snap Inc.,3.5,"Los Angeles, CA 90291 (Venice area)",,"Understand patterns in data to identify key product trends and new product opportunities.
Working closely alongside engineering, product management, and…"
805,Senior Data Scientist,"Alexion Pharmaceuticals,Inc.",3.6,"New Haven, CT (Downtown area)",,"Experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and…"
806,Data Scientist Intern,Internet Brands,,"Los Angeles, CA",,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality analytical and prediction systems…"
807,Data Scientist,"Hyundai Kia America Technical Center, Inc. (HATCI)",1.7,"Mountain View, CA 94043",,This position requires a seasoned professional with experience in delivering a comprehensive data science solution including algorithm development as well as…
808,Sr. Data Scientist,Florida Blue,4.0,"Jacksonville, FL","$130,000 a year","Participate on projects and manage project phases or smaller projects in their entirety (includes project management).
7+ years related work experience."
809,Lead Data Scientist,Humana,3.7,"Boston, MA 02210 (South Boston area)",,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
The ideal candidate will have experience conducting…"
810,Genomic Data Scientist,"BioStat Solutions, LLC.",,"Frederick, MD 21703",,"Provide quality control and analysis of a wide spectrum of omics datasets, including DNA-based (e.g. whole genome sequencing, whole exome sequencing, targeted…"
811,Senior Data Scientist,VirginPulse,,"Providence, RI 02860",,Experience with clinical/medical data and work in employee health management/health engagement industry preferred.
812,"Scientist 2, Data Analytics",Areté,4.0,"Northridge, CA",,"Experience in any of the following areas: machine learning, including artificial intelligence and deep learning; data analysis, statistical signal processing,…"
813,Data Scientist,Blue Owl,,"San Francisco, CA","$250,000 - $375,000 a year","We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution."
814,,USAA,3.9,"San Antonio, TX 78206 (King William area)",,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;…"
815,"Data Scientist II/III, Drug Safety",Boehringer Ingelheim,4.1,"Ridgefield, CT",,The Data Scientist II/III will research into innovative scientific approaches to enhancing understanding of therapeutic target safety liabilities and proposing…
816,Remote Lead Data Scientist - Epidemiologist,Aerotek,3.7,"Atlanta, GA 30303 (Five Points area)",,"10+ years of epidemiology, health care analytics, health research, or pharmaceutical industry analytic experience including but not limited to epidemiological…"
817,Data Scientist,Chubb,3.8,United States,,Data Scientist is a highly technical job that uses machine learning (including deep learning) to automate underwriting processes.
818,"Data Scientist, Teleflora",The Wonderful Company LLC,2.9,"Los Angeles, CA 90064",,"Strong presentation skills, with the ability to translate data into business insights.
We are looking for someone with strong eCommerce experience, someone who…"
819,Data Scientist,Victory,3.7,Texas,,"Significant experience in data mining, machine-learning and operations research.
Organize and present information using data visualization techniques."
820,"Data Scientist / Software Engineer, Planner",Waymo,3.1,"Mountain View, CA",,"Develop signals to describe the quality of our self driving car's behavior, using a range of techniques including machine learning, statistics, math, and…"
821,Software or Machine Learning Engineer - Entry Level,Apple,4.2,"Santa Clara Valley, CA 95014",,"Experience in machine learning, deep learning, search, natural language processing, data science, or computer vision.
Proficiency with C/C++/Java."
822,Applied Data Scientist,Techcyte,,United States,,"Writing clean, efficient, and scalable deep learning code for production.
Staying current with research in deep learning and image classification."
823,Senior Data Scientist,Softrams,3.0,"Woodlawn, MD",,"Ability to work in a team environment with business analysts, developers, subject matter experts and other data scientists to analyze business requirements and…"
824,Senior Data Scientist,University of New Mexico,4.1,"Albuquerque, NM 87106 (University Hts area)","$4,739 - $7,108 a month","Developing and monitoring implementation of strategic plans for data, analysis, and reporting by identifying, obtaining, and managing primary and secondary data…"
825,Data Scientist,Smart-tek,,"Marietta, GA","$115,000 - $140,000 a year",You will have access to customers (and their data) to fully gain an understanding about their analytical business needs and opportunities while collaborating…
826,Data Scientist - Machine Learning,Plaid,3.8,"San Francisco, CA",,"We're looking for data scientists with experience applying state-of-the-art machine learning and modeling techniques - including natural language processing,…"
827,Technical Sourcer - Data Science & Engineering,Roblox,4.2,"San Mateo, CA",,The Talent Acquisition Team at Roblox is looking for a Technical Sourcer to proactively identify and assess top technical talent through strong partnerships…
828,"Data Scientist - Madrid, Spain",GDS Modellica,,"Madrid, IA",,"Experience in data mining, statistics and/or machine learning techniques.
Programming skills Python or/and R, experience with their respective data mining and…"
829,Data Scientist,"Servpro Industries, LLC",2.6,"Gallatin, TN",,"Our data scientists leverage modern statistical and geospatial processing tools in SQL, Python, and Tableau to build scalable infrastructure that drives key…"
830,Data Scientist,Ushur,,United States,,With an understanding of the Machine Learning trends be able to apply various techniques on the data analytics as.
831,Data Analyst,Revel,2.7,"Brooklyn, NY 11231",,"2-3 years experience working as a data scientist/data analyst.
Build deep knowledge of relevant internal and external data repositories."
832,Deep Learning/Computer Vision Scientist,"Aptonet, Inc",,"Atlanta, GA 30309 (Midtown area)",$60 - $80 an hour,"Minimum Level: 2-3; Preferred Level: 3+ years of relevant experience in computer vision, computer science, deep learning fields or proven qualifications."
833,Data Scientist-Decision Sciences,"JPMorgan Chase Bank, N.A.",3.9,"Jacksonville, FL",,"Create data models using best practices to ensure high data quality and reduced redundancy.
Strong understand of data structure and strong SQL and Python skills…"
834,"Data Scientist, Pricing",Sonder,3.5,"Dallas, TX",,"Experience working with Product and Engineering teams at high growth companies to solve problems, identify trends and opportunities, productionize…"
835,"Senior Marketing Data Scientist, Enterprise",Atlassian,4.6,"San Francisco, CA",,"2-3 years of experience in B2B marketing or sales analytics and experience working with a field sales team.
Experience collaborating with senior management and…"
836,Data Scientist - Security Analytics,DiDi Labs,,"Mountain View, CA 94043",,"Big data analytics based on extracted security data to prevent attacks and data leakage.
Follow modern data analytics technical stacks, including ML/AI, and…"
837,Data Scientist,Waymo,3.1,"Mountain View, CA",,"Collaborate with engineers and other data scientists to evaluate and improve core.
Experience with tools for manipulating big data."
838,Data Scientist,MetiStream,,"Vienna, VA 22182",,"Expertise in applied machine learning with Python or Scala.
Bachelor’s Degree and 4+ years of analytics experience or Master’s Degree in a quantitative…"
839,Data Scientist,Envision LLC,,"St. Louis, MO 63141","$110,000 a year","Utilize modern data science techniques to examine, explain, and interpret data sets, and to recognize and forecast trends, as well as conduct analytics…"
840,Sr Business Data Analyst,DHL | Supply Chain,3.7,"Livonia, MI 48152",,"Applies data visualization for discovery and timely insights to decrease Cycle Time to Action (CTA).
To apply knowledge and analytics to develop and communicate…"
841,Data Scientist Co-op,"Healthcare Financial, Inc.",,"Quincy, MA 02171",,"Responsible for modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, data mining and data…"
842,Data Scientist,Thermo Fisher Scientific,3.5,"South San Francisco, CA 94080",,"Organize and data mine clinical data to assess the performance of clinical tests.
Work closely with scientists and engineers with data analysis &…"
843,Data Scientist I / Data Scientist II / Data Scientist III,TUFTS University,4.1,"Medford, MA",,"Makes independent decisions as it relates to a specific scientific field and solves problems using standard principles, procedures, and techniques for their…"
844,Staff Data Scientist for Risk Based Authentication (Remote E...,Okta,3.8,New York State,,"Skilled in building data models and using machine learning algorithms for classification and regression.
We are looking for a Principal Level Data Scientist to…"
845,Statistician,"Psychology Software Tools, Inc",,"Sharpsburg, PA 15215",$24 - $30 an hour,Requires a minimum of a bachelor's degree in a related area and 6-8 years of experience in the field of statistics as related to methods in psychology or in a…
846,Data Scientist,Sabal Tech,,"Fort Lauderdale, FL 33301 (Colee Hammock area)",,"Ability to structure data for business use case visualizations.
5+ years hands-on experience with relevant technology.
AWS, GCP, Azure ecosystems or similar."
847,Senior Data Scientist - Credit Risk,Cleo AI,,"San Francisco, CA",,"Use machine learning to build credit underwriting models leveraging alternative and traditional data sources.
Use advanced machine learning algorithms including…"
848,Data Scientist I,Crowley,3.6,"Jacksonville, FL 32225 (Regency area)",,Summarize analysis using a wide range of data visualization techniques to determine the types of insights derived from the product and data limitations.
849,2021 Summer Intern: Data Scientist,Spectrum,3.4,"Stamford, CT",,"Experience with preparing data for visualization and reporting using Excel and Powerpoint.
Basic knowledge of interpretable machine learning techniques."
850,Data Scientist,SILICON CONSULTING SERVICES,,"New York, NY",,"Minimum of 3 years in a data science engineering role.
Secondary Skills ( Nice to Have) :- Python, R, TensorFlow, scikit-learn, machine learning algorithms,…"
851,Data Scientist,Visual Connections,4.4,"Chevy Chase, MD",,"They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using…"
852,USARPAC PAI/OSINT Data Scientist,Huntington Ingalls Industries Inc.,3.8,"Honolulu, HI 96813",,"Proficiency in 2 or more Data Science techniques/methods relative to applications in business analytics, machine learning, artificial intelligence, predictive…"
853,"Data Scientist - Fort Walton Beach, FL",Intuitive Research and Technology Corporation,4.7,"Fort Walton Beach, FL",,Analyzes customer information needs and available data and then recommend methodologies to augment data as necessary in order to extract knowledge and insights.
854,Global Markets Data Scientist,UBS,3.8,"New York, NY",,"Experienced in working with large data sets in appropriate technologies (e.g. Hadoop), and in working with data engineers to build good data."
855,Data Scientist,Mindstrong,,California,,Possess extensive end-to-end project experience using machine learning or deep learning to solve complex real-world problems.
856,Senior Data Scientist,First American,3.8,"Santa Ana, CA 92707",,"This individual will work with a variety of data assets from multiple sources using a variety of techniques, ranging from simple data aggregation via…"
857,Data Scientist,Karma Automotive LLC,2.8,"Irvine, CA 92618 (East Industrial Complex area)",,"Create visualizations and reports to show insights obtained from data mining efforts.
Design and build new data set processes for modeling, data mining, and…"
858,Earth System Modeler and/or Data Scientist,Penn State University,4.3,"University Park, PA",,"We expect the new hires should be able to work on all aspects of center activities, including the core elements required for interdisciplinary projects: setting…"
859,Data Scientist,Swain Techs,,"Bethesda, MD 20892",,"Benefits Offered: Vision, Medical, Dental, 401K.
Looking for a Data Scientist to help develop an acquisition system that takes full advantage of Artificial…"
860,Senior Data Scientist,Schneider,3.3,"Green Bay, WI 54313",,Prepare written non-technical reports and presentations to managers and key decision makers indicating solution or range of possible alternatives solution pros…
861,Programmer/Data Scientist,New York University,4.2,"New York, NY 10012 (Greenwich Village area)",,"Will use modern programming tools to manage multi-terabyte databases, build data pipelines,.
Please send a CV and links to any relevant coding projects,…"
862,Senior Data Scientist,Schneider,3.3,"Green Bay, WI 54313",,Prepare written non-technical reports and presentations to managers and key decision makers indicating solution or range of possible alternatives solution pros…
863,Programmer/Data Scientist,New York University,4.2,"New York, NY 10012 (Greenwich Village area)",,"Will use modern programming tools to manage multi-terabyte databases, build data pipelines,.
Please send a CV and links to any relevant coding projects,…"
864,Data Scientist (E-Commerce/Subscription),Scale Media,4.0,"Los Angeles, CA",,"Use data mining and statistics to find patterns within data and assist in turning into actionable insights.
We are looking for someone with a natural ability to…"
865,Staff Data Scientist - Consumer Product - Metrics Team,Twitter,4.1,"Seattle, WA",,"You will be a key member of the Metrics Data Science team working closely with our partners in engineering, product, design, user research and operations to…"
866,Principal Data Scientist,"DirecTech Labs, Inc.",,Remote,,"You have 8+ years creating predictive models using advance machine learning techniques.
Analyze all data from all available sources (e.g. behavioral, sales,…"
867,Principal Data Scientist,CaptionCall,3.6,"Taylorsville, UT 84123","$105,000 - $150,000 a year","Utilize data mining techniques and develop data models to assist in the visualization and interpretation of data.
Four-year degree in a quantitative discipline."
868,Supply Chain Data Scientist,TCS,3.8,"Atlanta, GA 30336",,Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.
869,"Data Scientist, Product Analytics",Scaleapi,,"San Francisco, CA",,"Own end-to-end product analytics workflow including formulating success metrics, socializing them across the organization, and creating dashboards/reports."
870,Senior Data Scientist,Red Lambda,,Remote,,"Ability to use a language like Python or R to work efficiently at scale with large data sets (including exploratory data analysis, statistical analysis, and…"
